Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total,Revenue,Month
4293-1,2014-09-02,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,2014-09-04,156.5,300.97,$144.47,23.0,4533.52,2%,194.83,"$4,757.22",7.18,4291.55,4757.22,2014-09
5001-1,2015-10-24,Shahid Hopkins,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,Natasha Song,Medium,Bagged Rubber Bands,Office Supplies,Small Pack,Regular Air,2015-10-26,0.24,1.26,$1.02,8.0,45.2,3%,0.0,$45.90,0.7,46.91,45.9,2015-10
5004-1,2014-03-13,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Not Specified,TechSavi Cordless Navigator Duo,Office Supplies,Small Box,Regular Air,2014-03-13,42.11,80.98,$38.87,45.0,873.32,4%,72.23,$837.57,7.18,82.58,837.57,2014-03
5009-1,2013-02-18,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Small Business,Phoebe Gour,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Wrap Bag,Regular Air,2013-02-20,5.33,8.6,$3.27,16.0,73.52,1%,4.35,$740.67,6.19,730.92,740.67,2013-02
5010-1,2014-09-13,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Express Air,2014-09-17,1.53,2.78,$1.25,49.0,138.46,7%,5.95,$123.77,1.34,125.97,123.77,2014-09
5011-1,2013-11-24,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Home Office,Tina Carlton,Not Specified,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Regular Air,2013-11-26,4.59,7.28,$2.69,45.0,197.36,8%,12.98,$183.58,11.15,189.43,183.58,2013-11
5012-1,2014-09-07,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Consumer,Mihael Khan,Not Specified,Smiths Metal Binder Clips,Office Supplies,Small Box,Regular Air,2014-09-07,1.6,2.62,$1.02,45.0,65.5,4%,5.9,$59.62,0.8,60.45,59.62,2014-09
5012-1,2015-01-28,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Medium,Smiths Metal Binder Clips,Technology,Small Box,Regular Air,2015-01-29,1.6,2.62,$1.02,34.0,24.92,2%,2.49,$22.43,0.8,27.43,22.43,2015-01
5014-1,2014-06-08,John Lee,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,2014-06-10,3.99,6.23,$2.24,25.0,194.36,10%,15.93,$178.12,6.97,189.45,178.12,2014-06
5015-1,2014-10-02,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Corporate,Natasha Song,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,2014-10-04,156.5,300.97,$144.47,42.0,1079.62,4%,30.83,"$1,753.33",7.18,1705.42,1753.33,2014-10
5015-1,2014-04-01,Anne Pryor,"1-2/299 Sussex St,Sydney",Sydney,NSW,Corporate,Aanya Zhang,Medium,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Express Air,2014-04-02,156.5,300.97,$144.47,3.0,1602.02,10%,144.41,"$1,513.83",7.18,1533.62,1513.83,2014-04
